code_anon,timestamp
17,2023-03-04 13:12:49.756
96,2023-03-04 13:12:50.425
94,2023-03-04 13:12:50.702
122,2023-03-04 13:14:12.977
64,2023-03-04 13:20:36.638
100,2023-03-04 13:20:41.160
183,2023-03-04 13:20:46.078
98,2023-03-04 13:20:46.522
87,2023-03-04 13:20:46.826
12,2023-03-04 13:20:46.992
50,2023-03-04 13:20:47.116
22,2023-03-04 13:20:47.191
117,2023-03-04 13:20:47.211
181,2023-03-04 13:20:47.397
21,2023-03-04 13:20:47.394
30,2023-03-04 13:20:47.498
154,2023-03-04 13:20:47.515
115,2023-03-04 13:20:47.570
57,2023-03-04 13:20:47.452
93,2023-03-04 13:20:47.706
179,2023-03-04 13:20:47.735
47,2023-03-04 13:20:47.827
187,2023-03-04 13:20:47.819
125,2023-03-04 13:20:47.809
121,2023-03-04 13:20:47.638
85,2023-03-04 13:20:47.925
16,2023-03-04 13:20:47.961
32,2023-03-04 13:20:47.994
0,2023-03-04 13:20:48.099
72,2023-03-04 13:20:48.111
132,2023-03-04 13:20:48.096
157,2023-03-04 13:20:47.957
145,2023-03-04 13:20:48.188
5,2023-03-04 13:20:48.204
134,2023-03-04 13:20:48.196
44,2023-03-04 13:20:48.347
137,2023-03-04 13:20:48.351
149,2023-03-04 13:20:48.404
71,2023-03-04 13:20:48.463
124,2023-03-04 13:20:48.434
42,2023-03-04 13:20:48.432
28,2023-03-04 13:20:48.703
66,2023-03-04 13:20:48.533
73,2023-03-04 13:20:48.751
113,2023-03-04 13:20:48.804
4,2023-03-04 13:20:48.594
156,2023-03-04 13:20:48.633
10,2023-03-04 13:20:48.858
41,2023-03-04 13:20:48.730
56,2023-03-04 13:20:48.964
135,2023-03-04 13:20:48.991
165,2023-03-04 13:20:49.143
26,2023-03-04 13:20:49.200
133,2023-03-04 13:20:49.189
31,2023-03-04 13:20:49.390
144,2023-03-04 13:20:49.269
11,2023-03-04 13:20:49.448
33,2023-03-04 13:20:49.725
173,2023-03-04 13:20:49.537
148,2023-03-04 13:20:49.655
153,2023-03-04 13:20:49.682
6,2023-03-04 13:20:49.727
139,2023-03-04 13:20:49.856
54,2023-03-04 13:20:49.945
174,2023-03-04 13:20:49.956
8,2023-03-04 13:20:50.155
104,2023-03-04 13:20:50.201
92,2023-03-04 13:20:50.372
40,2023-03-04 13:20:50.361
99,2023-03-04 13:20:50.553
63,2023-03-04 13:20:50.804
126,2023-03-04 13:20:51.194
43,2023-03-04 13:20:51.422
116,2023-03-04 13:20:51.545
18,2023-03-04 13:20:51.858
103,2023-03-04 13:20:52.141
23,2023-03-04 13:20:53.288
89,2023-03-04 13:20:53.108
127,2023-03-04 13:20:53.945
46,2023-03-04 13:20:54.458
160,2023-03-04 13:20:55.396
59,2023-03-04 13:20:55.440
58,2023-03-04 13:20:56.296
107,2023-03-04 13:20:56.610
76,2023-03-04 13:21:34.061
130,2023-03-04 13:21:34.305
70,2023-03-04 13:21:34.629
184,2023-03-04 13:21:35.089
119,2023-03-04 13:21:35.681
123,2023-03-04 13:21:35.823
45,2023-03-04 13:21:55.173
